train loss | 152.6450500488 | 0 | 18.34729790687561
train loss mss | 149.0293121338 | 0 | 18.34729790687561
train loss f0 | 3.6157360077 | 0 | 18.34729790687561
valid loss | 125.6477282842 | 0 | 82.63905501365662
valid loss mss | 121.8128588994 | 0 | 82.63905501365662
valid loss f0 | 3.8348683318 | 0 | 82.63905501365662
train loss | 61.6496810913 | 10 | 148.5147943496704
train loss mss | 57.8922386169 | 10 | 148.5147943496704
train loss f0 | 3.7574443817 | 10 | 148.5147943496704
train loss | 44.1793022156 | 20 | 235.58033561706543
train loss mss | 40.6959762573 | 20 | 235.58033561706543
train loss f0 | 3.4833250046 | 20 | 235.58033561706543
train loss | 30.6438198090 | 30 | 320.31253600120544
train loss mss | 27.7225570679 | 30 | 320.31253600120544
train loss f0 | 2.9212627411 | 30 | 320.31253600120544
train loss | 22.5864639282 | 40 | 404.8951094150543
train loss mss | 18.7952556610 | 40 | 404.8951094150543
train loss f0 | 3.7912089825 | 40 | 404.8951094150543
train loss | 24.1896343231 | 50 | 489.14735865592957
train loss mss | 20.5575218201 | 50 | 489.14735865592957
train loss f0 | 3.6321132183 | 50 | 489.14735865592957
train loss | 20.0558490753 | 60 | 578.6508903503418
train loss mss | 16.3555698395 | 60 | 578.6508903503418
train loss f0 | 3.7002794743 | 60 | 578.6508903503418
train loss | 19.1236991882 | 70 | 662.1969804763794
train loss mss | 15.6196784973 | 70 | 662.1969804763794
train loss f0 | 3.5040209293 | 70 | 662.1969804763794
train loss | 21.8144626617 | 80 | 749.5968391895294
train loss mss | 17.4514560699 | 80 | 749.5968391895294
train loss f0 | 4.3630065918 | 80 | 749.5968391895294
train loss | 21.0181560516 | 90 | 838.0040457248688
train loss mss | 17.7643146515 | 90 | 838.0040457248688
train loss f0 | 3.2538409233 | 90 | 838.0040457248688
train loss | 21.0372734070 | 100 | 926.8629131317139
train loss mss | 17.1550998688 | 100 | 926.8629131317139
train loss f0 | 3.8821732998 | 100 | 926.8629131317139
train loss | 17.9556083679 | 110 | 1014.8457782268524
train loss mss | 14.8266382217 | 110 | 1014.8457782268524
train loss f0 | 3.1289706230 | 110 | 1014.8457782268524
train loss | 23.1129493713 | 120 | 1108.5220618247986
train loss mss | 17.9326667786 | 120 | 1108.5220618247986
train loss f0 | 5.1802830696 | 120 | 1108.5220618247986
train loss | 21.3566036224 | 130 | 1196.4747030735016
train loss mss | 18.5547370911 | 130 | 1196.4747030735016
train loss f0 | 2.8018670082 | 130 | 1196.4747030735016
train loss | 18.5549983978 | 140 | 1276.792516708374
train loss mss | 15.3361358643 | 140 | 1276.792516708374
train loss f0 | 3.2188627720 | 140 | 1276.792516708374
train loss | 19.4578933716 | 150 | 1357.0994639396667
train loss mss | 15.6369123459 | 150 | 1357.0994639396667
train loss f0 | 3.8209819794 | 150 | 1357.0994639396667
train loss | 22.8424034119 | 160 | 1436.4290761947632
train loss mss | 18.4437007904 | 160 | 1436.4290761947632
train loss f0 | 4.3987030983 | 160 | 1436.4290761947632
train loss | 24.7644519806 | 170 | 1513.6668558120728
train loss mss | 20.2956085205 | 170 | 1513.6668558120728
train loss f0 | 4.4688439369 | 170 | 1513.6668558120728
train loss | 18.8153266907 | 180 | 1590.2693433761597
train loss mss | 15.3613395691 | 180 | 1590.2693433761597
train loss f0 | 3.4539866447 | 180 | 1590.2693433761597
train loss | 16.6403083801 | 190 | 1664.5242927074432
train loss mss | 13.9394683838 | 190 | 1664.5242927074432
train loss f0 | 2.7008392811 | 190 | 1664.5242927074432
train loss | 21.5666885376 | 200 | 1739.3279087543488
train loss mss | 17.3522148132 | 200 | 1739.3279087543488
train loss f0 | 4.2144732475 | 200 | 1739.3279087543488
train loss | 23.7255630493 | 210 | 1813.4075148105621
train loss mss | 19.8314456940 | 210 | 1813.4075148105621
train loss f0 | 3.8941180706 | 210 | 1813.4075148105621
train loss | 18.2082767487 | 220 | 1887.7485196590424
train loss mss | 14.7471389771 | 220 | 1887.7485196590424
train loss f0 | 3.4611384869 | 220 | 1887.7485196590424
train loss | 17.4338035583 | 230 | 1968.7244052886963
train loss mss | 14.8161783218 | 230 | 1968.7244052886963
train loss f0 | 2.6176257133 | 230 | 1968.7244052886963
train loss | 19.0040397644 | 240 | 2048.607987165451
train loss mss | 15.9273414612 | 240 | 2048.607987165451
train loss f0 | 3.0766985416 | 240 | 2048.607987165451
train loss | 23.8872394562 | 250 | 2128.47510099411
train loss mss | 19.6867008209 | 250 | 2128.47510099411
train loss f0 | 4.2005391121 | 250 | 2128.47510099411
train loss | 18.0026340485 | 260 | 2207.502315759659
train loss mss | 14.2138309479 | 260 | 2207.502315759659
train loss f0 | 3.7888023853 | 260 | 2207.502315759659
train loss | 17.7566947937 | 270 | 2289.925683736801
train loss mss | 14.5590496063 | 270 | 2289.925683736801
train loss f0 | 3.1976454258 | 270 | 2289.925683736801
train loss | 19.2140750885 | 280 | 2372.059318780899
train loss mss | 15.4355163574 | 280 | 2372.059318780899
train loss f0 | 3.7785582542 | 280 | 2372.059318780899
train loss | 19.1683464050 | 290 | 2455.0255963802338
train loss mss | 15.0987443924 | 290 | 2455.0255963802338
train loss f0 | 4.0696015358 | 290 | 2455.0255963802338
train loss | 16.3163394928 | 300 | 2540.2246766090393
train loss mss | 12.7840356827 | 300 | 2540.2246766090393
train loss f0 | 3.5323045254 | 300 | 2540.2246766090393
train loss | 15.9312305450 | 310 | 2623.997309446335
train loss mss | 13.5228290558 | 310 | 2623.997309446335
train loss f0 | 2.4084019661 | 310 | 2623.997309446335
