train loss | 133.2812805176 | 0 | 18.584007740020752
train loss mss | 129.8204498291 | 0 | 18.584007740020752
train loss f0 | 3.4608297348 | 0 | 18.584007740020752
valid loss | 98.4300568899 | 0 | 88.12215518951416
valid loss mss | 94.6276865005 | 0 | 88.12215518951416
valid loss f0 | 3.8023705284 | 0 | 88.12215518951416
train loss | 59.2056770325 | 10 | 159.9320683479309
train loss mss | 54.7533264160 | 10 | 159.9320683479309
train loss f0 | 4.4523506165 | 10 | 159.9320683479309
train loss | 38.5841789246 | 20 | 250.1959412097931
train loss mss | 34.7548675537 | 20 | 250.1959412097931
train loss f0 | 3.8293123245 | 20 | 250.1959412097931
train loss | 27.1344680786 | 30 | 342.46895003318787
train loss mss | 23.8435611725 | 30 | 342.46895003318787
train loss f0 | 3.2909069061 | 30 | 342.46895003318787
train loss | 21.0601234436 | 40 | 434.9855570793152
train loss mss | 17.8547706604 | 40 | 434.9855570793152
train loss f0 | 3.2053527832 | 40 | 434.9855570793152
train loss | 23.1429405212 | 50 | 524.0332953929901
train loss mss | 18.6048336029 | 50 | 524.0332953929901
train loss f0 | 4.5381078720 | 50 | 524.0332953929901
train loss | 21.2517814636 | 60 | 611.7767095565796
train loss mss | 16.6980113983 | 60 | 611.7767095565796
train loss f0 | 4.5537695885 | 60 | 611.7767095565796
train loss | 18.8461742401 | 70 | 699.8849995136261
train loss mss | 15.3731384277 | 70 | 699.8849995136261
train loss f0 | 3.4730365276 | 70 | 699.8849995136261
train loss | 19.8768730164 | 80 | 788.4496397972107
train loss mss | 16.6456718445 | 80 | 788.4496397972107
train loss f0 | 3.2312016487 | 80 | 788.4496397972107
train loss | 21.9952621460 | 90 | 875.9351530075073
train loss mss | 17.9708156586 | 90 | 875.9351530075073
train loss f0 | 4.0244474411 | 90 | 875.9351530075073
train loss | 24.9104270935 | 100 | 962.3326573371887
train loss mss | 18.9827041626 | 100 | 962.3326573371887
train loss f0 | 5.9277219772 | 100 | 962.3326573371887
train loss | 16.8997135162 | 110 | 1049.0836102962494
train loss mss | 14.1096410751 | 110 | 1049.0836102962494
train loss f0 | 2.7900717258 | 110 | 1049.0836102962494
train loss | 20.7125701904 | 120 | 1139.7654030323029
train loss mss | 17.1586074829 | 120 | 1139.7654030323029
train loss f0 | 3.5539619923 | 120 | 1139.7654030323029
train loss | 20.4451808929 | 130 | 1221.7929224967957
train loss mss | 17.3849868774 | 130 | 1221.7929224967957
train loss f0 | 3.0601947308 | 130 | 1221.7929224967957
train loss | 18.9766559601 | 140 | 1307.1413259506226
train loss mss | 15.3152694702 | 140 | 1307.1413259506226
train loss f0 | 3.6613857746 | 140 | 1307.1413259506226
train loss | 19.9379081726 | 150 | 1390.3578293323517
train loss mss | 15.4430084229 | 150 | 1390.3578293323517
train loss f0 | 4.4948997498 | 150 | 1390.3578293323517
train loss | 19.2570590973 | 160 | 1474.3465507030487
train loss mss | 15.9405517578 | 160 | 1474.3465507030487
train loss f0 | 3.3165071011 | 160 | 1474.3465507030487
train loss | 21.5191612244 | 170 | 1561.1617658138275
train loss mss | 17.2557945251 | 170 | 1561.1617658138275
train loss f0 | 4.2633662224 | 170 | 1561.1617658138275
train loss | 17.6429576874 | 180 | 1644.1680779457092
train loss mss | 14.2016057968 | 180 | 1644.1680779457092
train loss f0 | 3.4413511753 | 180 | 1644.1680779457092
train loss | 16.7910308838 | 190 | 1727.4921083450317
train loss mss | 13.4303646088 | 190 | 1727.4921083450317
train loss f0 | 3.3606653214 | 190 | 1727.4921083450317
train loss | 18.3044662476 | 200 | 1811.150577545166
train loss mss | 14.7715015411 | 200 | 1811.150577545166
train loss f0 | 3.5329649448 | 200 | 1811.150577545166
train loss | 19.8573093414 | 210 | 1896.9991991519928
train loss mss | 16.5850505829 | 210 | 1896.9991991519928
train loss f0 | 3.2722587585 | 210 | 1896.9991991519928
train loss | 17.2177772522 | 220 | 1982.5240323543549
train loss mss | 13.4800376892 | 220 | 1982.5240323543549
train loss f0 | 3.7377402782 | 220 | 1982.5240323543549
train loss | 16.1221103668 | 230 | 2066.9394500255585
train loss mss | 12.2172851562 | 230 | 2066.9394500255585
train loss f0 | 3.9048259258 | 230 | 2066.9394500255585
train loss | 17.4829463959 | 240 | 2151.997575044632
train loss mss | 13.8158597946 | 240 | 2151.997575044632
train loss f0 | 3.6670870781 | 240 | 2151.997575044632
train loss | 19.8651351929 | 250 | 2236.142189025879
train loss mss | 16.2583179474 | 250 | 2236.142189025879
train loss f0 | 3.6068174839 | 250 | 2236.142189025879
train loss | 16.6092147827 | 260 | 2319.9542825222015
train loss mss | 12.4777774811 | 260 | 2319.9542825222015
train loss f0 | 4.1314377785 | 260 | 2319.9542825222015
train loss | 15.9548244476 | 270 | 2401.9779136180878
train loss mss | 12.1856880188 | 270 | 2401.9779136180878
train loss f0 | 3.7691369057 | 270 | 2401.9779136180878
train loss | 16.6911315918 | 280 | 2485.9124319553375
train loss mss | 13.1153964996 | 280 | 2485.9124319553375
train loss f0 | 3.5757360458 | 280 | 2485.9124319553375
train loss | 17.2136440277 | 290 | 2569.706254720688
train loss mss | 13.3380250931 | 290 | 2569.706254720688
train loss f0 | 3.8756194115 | 290 | 2569.706254720688
train loss | 16.3408432007 | 300 | 2655.1798944473267
train loss mss | 12.3961791992 | 300 | 2655.1798944473267
train loss f0 | 3.9446642399 | 300 | 2655.1798944473267
train loss | 15.1894607544 | 310 | 2738.9653146266937
train loss mss | 11.2818737030 | 310 | 2738.9653146266937
train loss f0 | 3.9075868130 | 310 | 2738.9653146266937
